?x	?p	?y
<http://purl.obolibrary.org/obo/CLO_0000001>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OBI_0001866>
<http://purl.obolibrary.org/obo/DOID_302>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/DOID_150>
<http://purl.obolibrary.org/obo/DOID_863>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OGMS_0000031>
<http://purl.obolibrary.org/obo/DOID_7>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OGMS_0000031>
<http://purl.obolibrary.org/obo/DOID_14330>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/DOID_331>
<http://purl.obolibrary.org/obo/DOID_331>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/DOID_863>
<http://purl.obolibrary.org/obo/DOID_12365>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OGMS_0000031>
<http://purl.obolibrary.org/obo/DOID_0080001>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/DOID_7>
<http://purl.obolibrary.org/obo/DOID_409>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/DOID_7>
<http://purl.obolibrary.org/obo/DOID_162>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OGMS_0000031>
<http://purl.obolibrary.org/obo/DOID_557>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/DOID_7>
<http://purl.obolibrary.org/obo/DOID_1826>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/DOID_331>
<http://purl.obolibrary.org/obo/DOID_93>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/DOID_0060037>
<http://purl.obolibrary.org/obo/DOID_0060037>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/DOID_150>
<http://purl.obolibrary.org/obo/DOID_12849>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/DOID_0060037>
<http://purl.obolibrary.org/obo/DOID_150>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OGMS_0000031>
<http://purl.obolibrary.org/obo/HP_0010984>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000016>
<http://purl.obolibrary.org/obo/HP_0002664>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OGMS_0000023>
<http://purl.obolibrary.org/obo/HP_0001428>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OGMS_0000031>
<http://www.ebi.ac.uk/efo/EFO_0022597>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/GO_0032502>
<http://www.ebi.ac.uk/efo/EFO_0004554>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://www.ebi.ac.uk/efo/EFO_0001444>
<http://www.ebi.ac.uk/efo/EFO_0007059>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OBI_0000181>
<http://www.ebi.ac.uk/efo/EFO_0003890>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OGMS_0000031>
<http://www.ebi.ac.uk/efo/EFO_0004426>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000019>
<http://www.ebi.ac.uk/efo/EFO_0000513>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://www.ebi.ac.uk/efo/EFO_0004554>
<http://www.ebi.ac.uk/efo/EFO_0004014>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://www.ebi.ac.uk/efo/EFO_0000510>
<http://www.ebi.ac.uk/efo/EFO_0000400>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OGMS_0000031>
<http://www.ebi.ac.uk/efo/EFO_0007550>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://www.ebi.ac.uk/efo/EFO_0002694>
<http://www.ebi.ac.uk/efo/EFO_0000727>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OBI_0000011>
<http://www.ebi.ac.uk/efo/EFO_0000336>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://www.ebi.ac.uk/efo/EFO_0000510>
<http://www.ebi.ac.uk/efo/EFO_0022599>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/GO_0032259>
<http://www.ebi.ac.uk/efo/EFO_0004327>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://www.ebi.ac.uk/efo/EFO_0001444>
<http://www.orpha.net/ORDO/Orphanet_68380>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OGMS_0000031>
